title,certificate,runtime,genre,rating,director,gross_earn
I Killed My Mother,15,96 min,"Drama, Romance",7.4,Xavier Dolan,
Summer Wars,12,114 min,"Animation, Action, Adventure",7.4,Mamoru Hosoda,$0.08M
Waiting for Guffman,15,84 min,Comedy,7.4,Christopher Guest,$2.92M
Rabbit-Proof Fence,PG,94 min,"Biography, Drama",7.4,Phillip Noyce,$6.17M
The Good Lie,12A,110 min,"Biography, Drama",7.4,Philippe Falardeau,$2.72M
The Wrong Man,A,105 min,"Drama, Film-Noir",7.4,Alfred Hitchcock,
A Shot in the Dark,A,102 min,"Comedy, Mystery",7.4,Blake Edwards,$12.37M
What Maisie Knew,15,99 min,Drama,7.4,Scott McGehee,$1.07M
The Kid with a Bike,12A,87 min,Drama,7.4,Jean-Pierre Dardenne,$1.38M
Jaane Tu... Ya Jaane Na,12A,155 min,"Comedy, Drama, Romance",7.4,Abbas Tyrewala,$0.60M
Cross of Iron,X,132 min,"Drama, War",7.4,Sam Peckinpah,
Yellow Submarine,U,90 min,"Animation, Adventure, Comedy",7.4,George Dunning,$0.99M
The King and I,U,133 min,"Biography, Drama, Musical",7.4,Walter Lang,$21.30M
Broadway Danny Rose,PG,84 min,Comedy,7.4,Woody Allen,$10.60M
My Life Without Me,15,106 min,"Drama, Romance",7.4,Isabel Coixet,$0.40M
No,15,118 min,"Drama, History",7.4,Pablo Larraín,$2.34M
Immortal Beloved,15,121 min,"Biography, Drama, Music",7.4,Bernard Rose,$9.91M
Amazing Grace,PG,118 min,"Biography, Drama, History",7.4,Michael Apted,$21.21M
Little Manhattan,PG,90 min,"Comedy, Family, Romance",7.4,Mark Levin,$0.38M
If....,X,111 min,"Crime, Drama",7.4,Lindsay Anderson,
Paradise Now,15,91 min,"Crime, Drama, Thriller",7.4,Hany Abu-Assad,$1.45M
Together,15,106 min,"Comedy, Drama, Romance",7.4,Lukas Moodysson,$1.07M
Avengers: Age of Ultron,12A,141 min,"Action, Adventure, Sci-Fi",7.3,Joss Whedon,$459.01M
Pirates of the Caribbean: Dead Man's Chest,12A,151 min,"Action, Adventure, Fantasy",7.3,Gore Verbinski,$423.32M
Ant-Man,12A,117 min,"Action, Adventure, Comedy",7.3,Peyton Reed,$180.20M
X-Men,12,104 min,"Action, Adventure, Sci-Fi",7.3,Bryan Singer,$157.30M
Men in Black,PG,98 min,"Action, Adventure, Comedy",7.3,Barry Sonnenfeld,$250.69M
Troy,15,163 min,"Drama, History",7.3,Wolfgang Petersen,$133.38M
American Sniper,15,133 min,"Action, Biography, Drama",7.3,Clint Eastwood,$350.13M
Shrek 2,U,93 min,"Animation, Adventure, Comedy",7.3,Andrew Adamson,$436.47M
Unbreakable,12,106 min,"Drama, Mystery, Sci-Fi",7.3,M. Night Shyamalan,$95.01M
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,15,84 min,Comedy,7.3,Larry Charles,$128.51M
Despicable Me 2,U,98 min,"Animation, Adventure, Comedy",7.3,Pierre Coffin,$368.06M
Dumb and Dumber,12,107 min,Comedy,7.3,Peter Farrelly,$127.18M
Fast & Furious 5,12A,130 min,"Action, Crime, Thriller",7.3,Justin Lin,$209.84M
Face/Off,18,138 min,"Action, Crime, Sci-Fi",7.3,John Woo,$112.23M
Sweeney Todd: The Demon Barber of Fleet Street,18,116 min,"Drama, Horror, Musical",7.3,Tim Burton,$52.90M
Speed,15,116 min,"Action, Adventure, Thriller",7.3,Jan de Bont,$121.25M
Sleepy Hollow,15,105 min,"Fantasy, Horror, Mystery",7.3,Tim Burton,$101.07M
Monsters University,U,104 min,"Animation, Adventure, Comedy",7.3,Dan Scanlon,$268.49M
Flight,15,138 min,"Drama, Thriller",7.3,Robert Zemeckis,$93.77M
10 Things I Hate About You,12,97 min,"Comedy, Drama, Romance",7.3,Gil Junger,$38.18M
The Simpsons Movie,PG,87 min,"Animation, Adventure, Comedy",7.3,David Silverman,$183.14M
The Nice Guys,15,116 min,"Action, Comedy, Crime",7.3,Shane Black,$36.26M
The Secret Life of Walter Mitty,PG,114 min,"Adventure, Comedy, Drama",7.3,Ben Stiller,$58.24M
Starship Troopers,15,129 min,"Action, Adventure, Sci-Fi",7.3,Paul Verhoeven,$54.81M
Finding Dory,U,97 min,"Animation, Adventure, Comedy",7.3,Andrew Stanton,$486.30M
Corpse Bride,PG,77 min,"Animation, Drama, Family",7.3,Tim Burton,$53.36M
The Place Beyond the Pines,15,140 min,"Crime, Drama, Thriller",7.3,Derek Cianfrance,$21.38M
The Conjuring 2,15,134 min,"Horror, Mystery, Thriller",7.3,James Wan,$102.47M
Jerry Maguire,15,139 min,"Comedy, Drama, Romance",7.3,Cameron Crowe,$153.95M
Lincoln,12A,150 min,"Biography, Drama, History",7.3,Steven Spielberg,$182.21M
Megamind,PG,95 min,"Animation, Action, Comedy",7.3,Tom McGrath,$148.42M
True Lies,15,141 min,"Action, Comedy, Thriller",7.3,James Cameron,$146.28M
Dawn of the Dead,18,101 min,"Action, Horror",7.3,Zack Snyder,$59.02M
Identity,15,90 min,"Mystery, Thriller",7.3,James Mangold,$52.16M
Enemy of the State,15,132 min,"Action, Thriller",7.3,Tony Scott,$111.55M
The Descendants,15,115 min,"Comedy, Drama",7.3,Alexander Payne,$82.58M
The Lincoln Lawyer,15,118 min,"Crime, Drama, Mystery",7.3,Brad Furman,$58.01M
Southpaw,15,124 min,"Action, Crime, Drama",7.3,Antoine Fuqua,$52.42M
The Adventures of Tintin: The Secret of the Unicorn,PG,107 min,"Animation, Action, Adventure",7.3,Steven Spielberg,$77.59M
Hercules,U,93 min,"Animation, Adventure, Comedy",7.3,Ron Clements,$99.05M
Tarzan,U,88 min,"Animation, Adventure, Comedy",7.3,Chris Buck,$171.09M
The Karate Kid,12,126 min,"Action, Drama, Family",7.3,John G. Avildsen,$90.82M
Gremlins,15,106 min,"Comedy, Fantasy, Horror",7.3,Joe Dante,$148.17M
Big,U,104 min,"Comedy, Drama, Fantasy",7.3,Penny Marshall,$114.97M
Dogma,15,130 min,"Adventure, Comedy, Drama",7.3,Kevin Smith,$30.65M
Chef,15,114 min,"Adventure, Comedy, Drama",7.3,Jon Favreau,$30.64M
Revolutionary Road,15,119 min,"Drama, Romance",7.3,Sam Mendes,$22.91M
A Walk to Remember,PG,101 min,"Drama, Romance",7.3,Adam Shankman,$41.23M
Rocky II,A,119 min,"Drama, Sport",7.3,Sylvester Stallone,
Blue Jasmine,12A,98 min,"Comedy, Drama",7.3,Woody Allen,$33.41M
The Next Three Days,12A,133 min,"Action, Crime, Drama",7.3,Paul Haggis,$21.15M
Cape Fear,18,128 min,"Crime, Thriller",7.3,Martin Scorsese,$79.10M
